Force;Acc4;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000001;
-0.000000;0.000001;
-0.000000;0.000003;
-0.000001;0.000006;
-0.000002;0.000010;
-0.000002;0.000017;
-0.000004;0.000026;
-0.000006;0.000039;
-0.000008;0.000056;
-0.000011;0.000079;
-0.000015;0.000108;
-0.000019;0.000143;
-0.000024;0.000187;
-0.000031;0.000240;
-0.000038;0.000302;
-0.000046;0.000375;
-0.000054;0.000459;
-0.000064;0.000555;
-0.000074;0.000664;
-0.000085;0.000786;
-0.000096;0.000921;
-0.000108;0.001070;
-0.000119;0.001233;
-0.000131;0.001410;
-0.000141;0.001600;
-0.000151;0.001804;
-0.000160;0.002021;
-0.000166;0.002249;
-0.000171;0.002488;
-0.000173;0.002738;
-0.000172;0.002996;
-0.000167;0.003261;
-0.000159;0.003532;
-0.000145;0.003807;
-0.000126;0.004083;
-0.000101;0.004359;
-0.000069;0.004633;
-0.000031;0.004901;
0.000016;0.005162;
0.000071;0.005412;
0.000135;0.005649;
0.000209;0.005870;
0.000292;0.006072;
0.000387;0.006252;
0.000493;0.006407;
0.000611;0.006533;
0.000740;0.006628;
0.000883;0.006689;
0.001039;0.006711;
0.001208;0.006693;
0.001391;0.006631;
0.001588;0.006522;
0.001799;0.006364;
0.002025;0.006153;
0.002265;0.005887;
0.002520;0.005563;
0.002790;0.005178;
0.003074;0.004732;
0.003372;0.004221;
0.003685;0.003644;
0.004011;0.003000;
0.004351;0.002286;
0.004705;0.001501;
0.005072;0.000646;
0.005451;-0.000282;
0.005841;-0.001282;
0.006243;-0.002354;
0.006656;-0.003499;
0.007078;-0.004715;
0.007509;-0.006002;
0.007949;-0.007360;
0.008395;-0.008786;
0.008848;-0.010280;
0.009306;-0.011839;
0.009768;-0.013460;
0.010233;-0.015143;
0.010699;-0.016883;
0.011166;-0.018677;
0.011632;-0.020523;
0.012095;-0.022417;
0.012555;-0.024354;
0.013009;-0.026331;
0.013457;-0.028343;
0.013897;-0.030386;
0.014327;-0.032455;
0.014746;-0.034544;
0.015152;-0.036649;
0.015543;-0.038764;
0.015918;-0.040883;
0.016276;-0.043001;
0.016614;-0.045112;
0.016931;-0.047210;
0.017226;-0.049288;
0.017496;-0.051341;
0.017740;-0.053362;
0.017957;-0.055344;
0.018145;-0.057282;
0.018303;-0.059170;
0.018428;-0.060999;
0.018519;-0.062766;
0.018575;-0.064462;
0.018595;-0.066082;
0.018576;-0.067619;
0.018518;-0.069068;
0.018420;-0.070422;
0.018279;-0.071675;
0.018094;-0.072822;
0.017865;-0.073857;
0.017591;-0.074775;
0.017270;-0.075570;
0.016901;-0.076237;
0.016484;-0.076771;
0.016017;-0.077167;
0.015500;-0.077422;
0.014933;-0.077531;
0.014315;-0.077489;
0.013645;-0.077294;
0.012923;-0.076942;
0.012149;-0.076429;
0.011323;-0.075753;
0.010445;-0.074911;
0.009515;-0.073901;
0.008533;-0.072720;
0.007499;-0.071368;
0.006415;-0.069842;
0.005280;-0.068142;
0.004095;-0.066267;
0.002862;-0.064216;
0.001581;-0.061989;
0.000252;-0.059587;
-0.001122;-0.057009;
-0.002541;-0.054256;
-0.004004;-0.051330;
-0.005508;-0.048233;
-0.007053;-0.044964;
-0.008636;-0.041527;
-0.010257;-0.037924;
-0.011913;-0.034158;
-0.013602;-0.030230;
-0.015322;-0.026145;
-0.017072;-0.021906;
-0.018849;-0.017516;
-0.020651;-0.012979;
-0.022476;-0.008300;
-0.024321;-0.003483;
-0.026183;0.001468;
-0.028061;0.006547;
-0.029952;0.011749;
-0.031852;0.017069;
-0.033759;0.022502;
-0.035671;0.028041;
-0.037584;0.033680;
-0.039495;0.039414;
-0.041402;0.045236;
-0.043300;0.051139;
-0.045188;0.057116;
-0.047061;0.063161;
-0.048918;0.069266;
-0.050753;0.075424;
-0.052564;0.081628;
-0.054347;0.087870;
-0.056100;0.094143;
-0.057818;0.100439;
-0.059499;0.106749;
-0.061138;0.113066;
-0.062733;0.119381;
-0.064280;0.125687;
-0.065776;0.131975;
-0.067217;0.138237;
-0.068601;0.144463;
-0.069924;0.150647;
-0.071182;0.156778;
-0.072374;0.162848;
-0.073495;0.168849;
-0.074544;0.174772;
-0.075517;0.180608;
-0.076412;0.186348;
-0.077226;0.191983;
-0.077956;0.197505;
-0.078601;0.202905;
-0.079158;0.208174;
-0.079625;0.213303;
-0.080000;0.218284;
-0.080280;0.223107;
-0.080465;0.227765;
-0.080552;0.232249;
-0.080541;0.236550;
-0.080428;0.240659;
-0.080214;0.244569;
-0.079896;0.248272;
-0.079474;0.251759;
-0.078946;0.255022;
-0.078313;0.258053;
-0.077571;0.260846;
-0.076722;0.263392;
-0.075765;0.265684;
-0.074698;0.267715;
-0.073523;0.269478;
-0.072238;0.270966;
-0.070843;0.272174;
-0.069339;0.273094;
-0.067726;0.273720;
-0.066004;0.274048;
-0.064174;0.274070;
-0.062235;0.273784;
-0.060190;0.273182;
-0.058039;0.272261;
-0.055782;0.271017;
-0.053422;0.269445;
-0.050959;0.267541;
-0.048396;0.265304;
-0.045732;0.262728;
-0.042972;0.259813;
-0.040115;0.256555;
-0.037165;0.252954;
-0.034124;0.249006;
-0.030993;0.244712;
-0.027776;0.240071;
-0.024476;0.235082;
-0.021094;0.229745;
-0.017634;0.224062;
-0.014099;0.218032;
-0.010492;0.211657;
-0.006816;0.204940;
-0.003076;0.197882;
0.000727;0.190486;
0.004588;0.182755;
0.008503;0.174692;
0.012468;0.166302;
0.016480;0.157589;
0.020535;0.148557;
0.024628;0.139213;
0.028756;0.129560;
0.032913;0.119607;
0.037097;0.109358;
0.041302;0.098822;
0.045524;0.088005;
0.049758;0.076915;
0.054001;0.065561;
0.058247;0.053950;
0.062493;0.042092;
0.066732;0.029997;
0.070962;0.017673;
0.075176;0.005131;
0.079371;-0.007619;
0.083542;-0.020565;
0.087685;-0.033697;
0.091793;-0.047003;
0.095864;-0.060472;
0.099893;-0.074091;
0.103874;-0.087847;
0.107803;-0.101729;
0.111676;-0.115722;
0.115488;-0.129815;
0.119234;-0.143992;
0.122911;-0.158241;
0.126514;-0.172547;
0.130038;-0.186897;
0.133479;-0.201274;
0.136832;-0.215666;
0.140095;-0.230056;
0.143261;-0.244431;
0.146328;-0.258773;
0.149291;-0.273069;
0.152147;-0.287303;
0.154890;-0.301459;
0.157518;-0.315520;
0.160027;-0.329472;
0.162413;-0.343298;
