Frequency_Hz	H1_abs	H2_abs	Coherence
0.00000000e+00	1.72742643e-01	8.42158735e+00	2.05118864e-02
6.94540908e-03	1.80656329e-01	1.00576510e+01	1.79620797e-02
1.38908182e-02	1.89045774e+00	6.10418301e+00	3.09698733e-01
2.08362273e-02	1.73884077e+00	4.47541751e+00	3.88531520e-01
2.77816363e-02	9.73237005e-01	4.35238866e+00	2.23609857e-01
3.47270454e-02	6.02369769e-01	6.92863793e+00	8.69391321e-02
4.16724545e-02	5.57486412e-01	4.92078348e+00	1.13292205e-01
4.86178636e-02	6.08438034e-01	2.79124463e+00	2.17980906e-01
5.55632727e-02	5.71182863e-01	2.93996800e+00	1.94282000e-01
6.25086818e-02	5.02198698e-01	5.04349172e+00	9.95736141e-02
6.94540908e-02	3.27872444e-01	2.62188011e+00	1.25052417e-01
7.63994999e-02	7.42232246e-02	1.03494646e+01	7.17169705e-03
8.33449090e-02	1.02636857e-01	2.24692423e+01	4.56788245e-03
9.02903181e-02	5.59596391e-01	3.26945632e+00	1.71158852e-01
9.72357272e-02	4.10306812e-01	2.47563383e+00	1.65738086e-01
1.04181136e-01	2.07488859e-01	3.50438450e+00	5.92083598e-02
1.11126545e-01	1.74248091e-01	6.52459804e+00	2.67063335e-02
1.18071954e-01	2.79344652e-01	3.66312680e+00	7.62585264e-02
1.25017364e-01	1.69817920e-01	3.54910196e+00	4.78481378e-02
1.31962773e-01	3.81842920e-01	5.78754477e+00	6.59766680e-02
1.38908182e-01	2.61341010e-01	5.06765856e+00	5.15703666e-02
1.45853591e-01	2.02699117e-01	3.78899207e+00	5.34968439e-02
1.52799000e-01	2.17192234e-01	3.40483559e+00	6.37893454e-02
1.59744409e-01	8.95945510e-02	1.30205001e+01	6.88103763e-03
1.66689818e-01	3.52430924e-02	1.37824425e+01	2.55710063e-03
1.73635227e-01	2.48114684e-01	1.38704542e+00	1.78880000e-01
1.80580636e-01	3.92708872e-01	3.77763550e+00	1.03956264e-01
1.87526045e-01	2.97201879e-01	2.39794146e+00	1.23940423e-01
1.94471454e-01	1.42552168e-01	3.15023952e+00	4.52512158e-02
2.01416863e-01	1.24437946e-01	4.32169940e+00	2.87937531e-02
2.08362273e-01	1.01428118e-01	8.51912242e+00	1.19059350e-02
2.15307682e-01	1.05683358e-01	1.94309243e+00	5.43892593e-02
2.22253091e-01	8.22052692e-02	4.78731677e+00	1.71714706e-02
2.29198500e-01	1.20177221e-01	7.43843735e+00	1.61562457e-02
2.36143909e-01	2.10730330e-02	1.40769002e+01	1.49699385e-03
2.43089318e-01	1.23750462e-01	2.50864920e+00	4.93295204e-02
2.50034727e-01	1.34820496e-01	2.75377480e+00	4.89584321e-02
2.56980136e-01	1.85036506e-01	2.26288125e+00	8.17703120e-02
2.63925545e-01	3.28715984e-02	3.49094398e+00	9.41624919e-03
2.70870954e-01	6.37551558e-02	1.37889448e+00	4.62364284e-02
2.77816363e-01	9.63041293e-02	1.15695618e+00	8.32392196e-02
2.84761772e-01	8.20282029e-02	1.29067824e+00	6.35543395e-02
2.91707182e-01	7.90120622e-02	2.13756897e+00	3.69635148e-02
2.98652591e-01	2.70367669e-02	3.12061951e+00	8.66391008e-03
3.05598000e-01	4.00316313e-02	1.36307460e+00	2.93686284e-02
3.12543409e-01	2.17212686e-02	2.92654071e+00	7.42216518e-03
3.19488818e-01	1.37532209e-02	2.91162005e+00	4.72356305e-03
3.26434227e-01	1.90321085e-02	2.20265368e+00	8.64053603e-03
3.33379636e-01	2.56255043e-02	8.21981813e-01	3.11752692e-02
3.40325045e-01	2.51232410e-02	6.19477169e-01	4.05555559e-02
3.47270454e-01	1.29513206e-02	8.35081941e-01	1.55090417e-02
3.54215863e-01	3.02800713e-02	3.37919641e-01	8.96073138e-02
3.61161272e-01	8.90299877e-03	8.54369298e-01	1.04205509e-02
3.68106681e-01	3.03338095e-03	1.97396512e+00	1.53669430e-03
3.75052091e-01	2.93047105e-03	1.36430797e+00	2.14795421e-03
3.81997500e-01	1.36426236e-02	2.99370178e-01	4.55710841e-02
3.88942909e-01	6.21897575e-03	7.37891695e-01	8.42803325e-03
3.95888318e-01	8.49993561e-04	2.76379397e+00	3.07545921e-04
4.02833727e-01	8.94935398e-03	1.81405245e-01	4.93334908e-02
4.09779136e-01	3.81182431e-03	3.60111844e-01	1.05851123e-02
4.16724545e-01	3.28916418e-03	3.21152050e-01	1.02417661e-02
4.23669954e-01	1.81361170e-03	5.68569076e-01	3.18978252e-03
4.30615363e-01	7.98649938e-03	1.17275224e-01	6.81004830e-02
4.37560772e-01	8.47295591e-03	8.79307831e-02	9.63593819e-02
4.44506181e-01	1.97927064e-03	2.80383011e-01	7.05916751e-03
4.51451590e-01	1.99551324e-03	1.73589422e-01	1.14955924e-02
4.58397000e-01	1.84881791e-03	2.08350536e-01	8.87359325e-03
4.65342409e-01	4.32340971e-03	8.46226001e-02	5.10904854e-02
4.72287818e-01	4.16294939e-03	7.14584541e-02	5.82569193e-02
4.79233227e-01	4.20824746e-03	6.51527921e-02	6.45904392e-02
4.86178636e-01	3.67679267e-03	7.79981635e-02	4.71394775e-02
4.93124045e-01	9.29105976e-04	2.91362103e-01	3.18883604e-03
5.00069454e-01	5.82332339e-03	6.31108581e-02	9.22713390e-02
5.07014863e-01	3.63510419e-03	7.64135144e-02	4.75714829e-02
5.13960272e-01	2.07201289e-03	8.56077597e-02	2.42035640e-02
5.20905681e-01	3.36698973e-03	5.70019259e-02	5.90679994e-02
5.27851090e-01	2.36186617e-03	6.83184775e-02	3.45714111e-02
5.34796500e-01	3.09355620e-03	3.91115902e-02	7.90956386e-02
5.41741909e-01	3.38900603e-03	4.50854408e-02	7.51685237e-02
5.48687318e-01	6.03173973e-03	3.50765994e-02	1.71959079e-01
5.55632727e-01	3.40346605e-03	5.04692364e-02	6.74364483e-02
5.62578136e-01	3.46565471e-03	5.21729301e-02	6.64263002e-02
5.69523545e-01	3.08462241e-03	5.80370043e-02	5.31492356e-02
5.76468954e-01	4.05088243e-03	4.98050981e-02	8.13346943e-02
5.83414363e-01	5.34800166e-03	4.27403848e-02	1.25127597e-01
5.90359772e-01	6.64812545e-03	3.70389087e-02	1.79490317e-01
5.97305181e-01	4.95183035e-03	4.44798872e-02	1.11327404e-01
6.04250590e-01	2.03379583e-03	7.90127415e-02	2.57400996e-02
6.11195999e-01	3.97411717e-03	2.82885080e-02	1.40485216e-01
6.18141409e-01	5.63026682e-03	3.32449790e-02	1.69356907e-01
6.25086818e-01	5.90040357e-03	2.70707305e-02	2.17962481e-01
6.32032227e-01	4.20092070e-03	3.10767173e-02	1.35179036e-01
6.38977636e-01	5.99309980e-03	2.47786052e-02	2.41865906e-01
6.45923045e-01	7.68301094e-03	1.90463189e-02	4.03385610e-01
6.52868454e-01	7.03598454e-03	1.93184708e-02	3.64210221e-01
6.59813863e-01	6.43871145e-03	1.92244730e-02	3.34922650e-01
6.66759272e-01	6.49479173e-03	1.56449463e-02	4.15136721e-01
6.73704681e-01	6.26713277e-03	1.48262763e-02	4.22704437e-01
6.80650090e-01	7.26213493e-03	1.36681991e-02	5.31316151e-01
6.87595499e-01	8.20872439e-03	1.32796418e-02	6.18143511e-01
