Frequency_Hz	H1_abs_acc1	H2_abs_acc1	Coh_acc1	H1_abs_acc2	H2_abs_acc2	Coh_acc2	H1_abs_acc3	H2_abs_acc3	Coh_acc3	H1_abs_acc4	H2_abs_acc4	Coh_acc4	H1_abs_acc5	H2_abs_acc5	Coh_acc5	H1_abs_acc6	H2_abs_acc6	Coh_acc6
6.94540908e-01	8.82282617e-03	1.82741992e-02	4.82802343e-01	7.03949192e-03	2.53330093e-02	2.77878235e-01	6.14313002e-03	1.37387817e-02	4.47137900e-01	7.50519562e-03	1.73752391e-02	4.31947761e-01	1.23549904e-02	2.18715752e-02	5.64888003e-01	6.87073368e-03	1.45158836e-02	4.73325213e-01
7.01486318e-01	1.15606863e-02	1.98555410e-02	5.82239801e-01	6.64041849e-03	2.32243984e-02	2.85924241e-01	5.55343664e-03	1.51247061e-02	3.67176499e-01	6.89022304e-03	2.04927009e-02	3.36228156e-01	1.42948160e-02	2.12020385e-02	6.74218944e-01	6.86205806e-03	1.81790444e-02	3.77470779e-01
7.08431727e-01	8.40178493e-03	2.56608995e-02	3.27415839e-01	7.38258742e-03	2.44207268e-02	3.02308260e-01	5.49452784e-03	1.59620335e-02	3.44224803e-01	7.29719292e-03	1.85130112e-02	3.94165641e-01	1.60463341e-02	2.34518793e-02	6.84223803e-01	6.74022050e-03	1.53337109e-02	4.39568775e-01
7.15377136e-01	9.66674184e-03	2.22044439e-02	4.35351674e-01	1.21223526e-02	2.33368871e-02	5.19450285e-01	6.57847722e-03	1.75334476e-02	3.75195875e-01	7.29922672e-03	1.53502323e-02	4.75512459e-01	1.18321504e-02	2.24327708e-02	5.27449354e-01	7.35364162e-03	1.37908558e-02	5.33225911e-01
7.22322545e-01	9.24374170e-03	2.19523814e-02	4.21081501e-01	9.15801218e-03	2.63915760e-02	3.47005127e-01	7.46392573e-03	1.45652317e-02	5.12448128e-01	6.45366823e-03	1.84967181e-02	3.48908828e-01	1.26554422e-02	2.04511260e-02	6.18813955e-01	9.71109433e-03	1.58714399e-02	6.11859694e-01
7.29267954e-01	6.76520984e-03	2.45025855e-02	2.76101876e-01	5.99396996e-03	2.61555712e-02	2.29166089e-01	7.74781328e-03	1.23614935e-02	6.26770002e-01	6.87087794e-03	1.87312217e-02	3.66814190e-01	1.70796062e-02	2.23151182e-02	7.65382734e-01	9.64459486e-03	1.74886330e-02	5.51477914e-01
7.36213363e-01	1.10735307e-02	2.62315829e-02	4.22144968e-01	7.50732899e-03	2.04439957e-02	3.67214369e-01	6.62988033e-03	1.33211485e-02	4.97695852e-01	8.20678502e-03	1.73725521e-02	4.72399506e-01	1.77490371e-02	2.39184665e-02	7.42064174e-01	8.99954404e-03	1.68043482e-02	5.35548534e-01
7.43158772e-01	1.20013521e-02	2.24464610e-02	5.34665671e-01	5.45028815e-03	3.07782829e-02	1.77082268e-01	9.17598525e-03	1.44408684e-02	6.35417829e-01	8.61055473e-03	1.89100092e-02	4.55343763e-01	1.59026765e-02	2.80535626e-02	5.66868342e-01	9.57314129e-03	1.76348300e-02	5.42854186e-01
7.50104181e-01	9.64794285e-03	1.96373201e-02	4.91306492e-01	7.70963860e-03	2.60981574e-02	2.95409308e-01	7.01089079e-03	1.87918972e-02	3.73080520e-01	8.15978690e-03	1.91578475e-02	4.25923992e-01	1.25278449e-02	2.71202202e-02	4.61937432e-01	9.98736569e-03	1.92517433e-02	5.18777211e-01
7.57049590e-01	9.38662042e-03	1.89083305e-02	4.96427775e-01	1.03705739e-02	1.97740171e-02	5.24454582e-01	8.11326395e-03	1.77123916e-02	4.58055814e-01	9.02951604e-03	2.05357898e-02	4.39696555e-01	1.52550786e-02	2.58052680e-02	5.91161409e-01	1.26114234e-02	1.91518575e-02	6.58496094e-01
