Force;Acc4;
0.000000;0.000000;
0.000000;0.000000;
0.000000;0.000000;
0.000000;0.000000;
0.000000;0.000001;
0.000000;0.000002;
0.000000;0.000004;
0.000001;0.000008;
0.000001;0.000014;
0.000002;0.000023;
0.000004;0.000037;
0.000005;0.000057;
0.000008;0.000084;
0.000011;0.000119;
0.000016;0.000166;
0.000022;0.000225;
0.000029;0.000300;
0.000038;0.000392;
0.000049;0.000504;
0.000062;0.000640;
0.000078;0.000801;
0.000096;0.000991;
0.000118;0.001213;
0.000144;0.001470;
0.000173;0.001765;
0.000206;0.002102;
0.000244;0.002484;
0.000288;0.002914;
0.000336;0.003397;
0.000390;0.003934;
0.000450;0.004530;
0.000517;0.005187;
0.000591;0.005909;
0.000671;0.006699;
0.000760;0.007560;
0.000856;0.008495;
0.000960;0.009505;
0.001074;0.010595;
0.001196;0.011765;
0.001327;0.013019;
0.001468;0.014357;
0.001619;0.015783;
0.001780;0.017296;
0.001951;0.018898;
0.002133;0.020590;
0.002326;0.022373;
0.002530;0.024246;
0.002744;0.026210;
0.002970;0.028264;
0.003207;0.030408;
0.003456;0.032640;
0.003716;0.034959;
0.003987;0.037364;
0.004270;0.039851;
0.004565;0.042420;
0.004870;0.045066;
0.005187;0.047787;
0.005514;0.050579;
0.005853;0.053438;
0.006202;0.056360;
0.006562;0.059340;
0.006931;0.062373;
0.007311;0.065454;
0.007699;0.068576;
0.008097;0.071734;
0.008504;0.074921;
0.008919;0.078131;
0.009341;0.081355;
0.009771;0.084587;
0.010207;0.087819;
0.010649;0.091042;
0.011097;0.094248;
0.011550;0.097428;
0.012006;0.100574;
0.012466;0.103675;
0.012929;0.106722;
0.013394;0.109706;
0.013860;0.112616;
0.014326;0.115441;
0.014792;0.118172;
0.015257;0.120798;
0.015719;0.123307;
0.016178;0.125688;
0.016633;0.127931;
0.017083;0.130024;
0.017527;0.131956;
0.017964;0.133714;
0.018393;0.135287;
0.018813;0.136664;
0.019223;0.137833;
0.019622;0.138781;
0.020009;0.139498;
0.020383;0.139971;
0.020742;0.140188;
0.021086;0.140139;
0.021414;0.139810;
0.021724;0.139190;
0.022016;0.138269;
0.022288;0.137034;
0.022539;0.135475;
0.022768;0.133579;
0.022975;0.131337;
0.023157;0.128737;
0.023314;0.125770;
0.023445;0.122424;
0.023549;0.118689;
0.023625;0.114557;
0.023672;0.110016;
0.023688;0.105059;
0.023673;0.099675;
0.023626;0.093858;
0.023545;0.087597;
0.023431;0.080886;
0.023281;0.073717;
0.023096;0.066082;
0.022873;0.057976;
0.022613;0.049392;
0.022315;0.040323;
0.021977;0.030765;
0.021600;0.020713;
0.021181;0.010162;
0.020721;-0.000892;
0.020220;-0.012452;
0.019675;-0.024521;
0.019087;-0.037101;
0.018455;-0.050195;
0.017779;-0.063804;
0.017058;-0.077928;
0.016292;-0.092568;
0.015480;-0.107723;
0.014623;-0.123393;
0.013719;-0.139575;
0.012768;-0.156268;
0.011770;-0.173470;
0.010726;-0.191176;
0.009635;-0.209382;
0.008496;-0.228085;
0.007310;-0.247279;
0.006077;-0.266957;
0.004797;-0.287115;
0.003470;-0.307744;
0.002096;-0.328837;
0.000676;-0.350386;
-0.000791;-0.372381;
-0.002304;-0.394813;
-0.003863;-0.417672;
-0.005467;-0.440947;
-0.007115;-0.464627;
-0.008808;-0.488699;
-0.010545;-0.513150;
-0.012324;-0.537968;
-0.014147;-0.563138;
-0.016010;-0.588647;
-0.017915;-0.614478;
-0.019860;-0.640616;
-0.021844;-0.667044;
-0.023867;-0.693747;
-0.025926;-0.720706;
-0.028022;-0.747904;
-0.030154;-0.775321;
-0.032319;-0.802939;
-0.034517;-0.830739;
-0.036747;-0.858700;
-0.039008;-0.886801;
-0.041298;-0.915022;
-0.043615;-0.943340;
-0.045959;-0.971734;
-0.048328;-1.000182;
-0.050720;-1.028660;
-0.053134;-1.057146;
-0.055569;-1.085614;
-0.058022;-1.114042;
-0.060492;-1.142404;
-0.062978;-1.170677;
-0.065477;-1.198833;
-0.067989;-1.226849;
-0.070510;-1.254699;
-0.073040;-1.282355;
-0.075576;-1.309792;
-0.078116;-1.336984;
-0.080659;-1.363902;
-0.083203;-1.390521;
-0.085745;-1.416813;
-0.088284;-1.442749;
-0.090818;-1.468304;
-0.093344;-1.493449;
-0.095860;-1.518156;
-0.098365;-1.542397;
-0.100855;-1.566145;
-0.103330;-1.589370;
-0.105787;-1.612045;
-0.108223;-1.634143;
-0.110637;-1.655633;
-0.113026;-1.676490;
-0.115388;-1.696684;
-0.117721;-1.716188;
-0.120022;-1.734973;
-0.122290;-1.753013;
-0.124522;-1.770279;
-0.126716;-1.786743;
-0.128869;-1.802380;
-0.130980;-1.817161;
-0.133046;-1.831059;
-0.135064;-1.844049;
-0.137034;-1.856103;
-0.138952;-1.867196;
-0.140816;-1.877302;
-0.142624;-1.886396;
-0.144373;-1.894452;
-0.146063;-1.901446;
-0.147690;-1.907353;
-0.149252;-1.912150;
-0.150747;-1.915813;
-0.152174;-1.918319;
-0.153529;-1.919646;
-0.154811;-1.919771;
-0.156018;-1.918674;
-0.157148;-1.916333;
-0.158199;-1.912727;
-0.159169;-1.907838;
-0.160056;-1.901645;
-0.160858;-1.894131;
-0.161573;-1.885276;
-0.162200;-1.875065;
-0.162736;-1.863479;
-0.163181;-1.850504;
-0.163531;-1.836123;
-0.163786;-1.820323;
-0.163944;-1.803089;
-0.164004;-1.784408;
-0.163963;-1.764269;
-0.163821;-1.742658;
-0.163576;-1.719566;
-0.163226;-1.694983;
-0.162771;-1.668899;
-0.162208;-1.641306;
-0.161538;-1.612197;
-0.160758;-1.581565;
-0.159867;-1.549404;
-0.158865;-1.515709;
-0.157751;-1.480477;
-0.156523;-1.443703;
-0.155181;-1.405387;
-0.153723;-1.365527;
-0.152150;-1.324122;
-0.150461;-1.281173;
-0.148654;-1.236681;
-0.146729;-1.190650;
-0.144686;-1.143082;
-0.142525;-1.093982;
-0.140244;-1.043355;
-0.137845;-0.991207;
-0.135326;-0.937547;
-0.132687;-0.882381;
-0.129929;-0.825720;
-0.127051;-0.767574;
-0.124053;-0.707954;
-0.120936;-0.646872;
-0.117699;-0.584341;
-0.114344;-0.520376;
-0.110870;-0.454991;
-0.107278;-0.388204;
-0.103568;-0.320031;
-0.099741;-0.250490;
-0.095797;-0.179601;
-0.091738;-0.107384;
-0.087564;-0.033859;
-0.083275;0.040952;
-0.078874;0.117024;
-0.074360;0.194335;
