Frequency_Hz	H1_abs	H2_abs	Coherence
0.00000000e+00	5.76178710e-02	2.31577282e+01	2.48806232e-03
6.94540908e-03	1.21926853e-01	1.76620240e+01	6.90333412e-03
1.38908182e-02	1.15047652e+00	7.91014907e+00	1.45443090e-01
2.08362273e-02	7.24028792e-01	8.06895347e+00	8.97301980e-02
2.77816363e-02	1.50171312e-01	3.04290848e+01	4.93512417e-03
3.47270454e-02	4.44759681e-01	9.18172956e+00	4.84396407e-02
4.16724545e-02	1.82514981e-01	1.46229831e+01	1.24813780e-02
4.86178636e-02	4.06450454e-01	4.74222296e+00	8.57088452e-02
5.55632727e-02	3.76017788e-01	5.77560996e+00	6.51044289e-02
6.25086818e-02	3.74266404e-01	7.59560112e+00	4.92740994e-02
6.94540908e-02	2.71752782e-01	6.00587974e+00	4.52477894e-02
7.63994999e-02	4.07449443e-02	4.48075966e+01	9.09331172e-04
8.33449090e-02	1.20769922e-01	2.90037507e+01	4.16394153e-03
9.02903181e-02	4.69885471e-01	5.06083471e+00	9.28474250e-02
9.72357272e-02	4.78503383e-01	2.80107576e+00	1.70828433e-01
1.04181136e-01	9.84156848e-02	9.51757261e+00	1.03404186e-02
1.11126545e-01	1.97533500e-01	5.98229054e+00	3.30197102e-02
1.18071954e-01	1.33853007e-01	6.46803953e+00	2.06945252e-02
1.25017364e-01	2.60290948e-01	2.60248094e+00	1.00016466e-01
1.31962773e-01	4.44282482e-01	6.60309245e+00	6.72840015e-02
1.38908182e-01	2.16470709e-01	7.76486129e+00	2.78782455e-02
1.45853591e-01	2.34239664e-01	2.18430215e+00	1.07237757e-01
1.52799000e-01	1.37996858e-01	6.53577085e+00	2.11140905e-02
1.59744409e-01	8.07404768e-02	1.94907237e+01	4.14250790e-03
1.66689818e-01	5.12685754e-02	1.15461008e+01	4.44033674e-03
1.73635227e-01	1.14874082e-01	3.10218652e+00	3.70300371e-02
1.80580636e-01	9.87772551e-02	1.96326499e+01	5.03127472e-03
1.87526045e-01	6.80721657e-02	1.04063133e+01	6.54142960e-03
1.94471454e-01	2.53786643e-01	1.79179803e+00	1.41637974e-01
2.01416863e-01	1.78308287e-01	3.51610415e+00	5.07118902e-02
2.08362273e-01	9.08945246e-02	7.90046625e+00	1.15049570e-02
2.15307682e-01	7.96480870e-02	3.85936369e+00	2.06376215e-02
2.22253091e-01	1.29220569e-01	3.41420786e+00	3.78478916e-02
2.29198500e-01	1.81237869e-01	5.30158217e+00	3.41856192e-02
2.36143909e-01	2.99414490e-02	9.23762010e+00	3.24125139e-03
2.43089318e-01	1.09260356e-01	2.70069646e+00	4.04563628e-02
2.50034727e-01	1.17759285e-01	2.95568289e+00	3.98416506e-02
2.56980136e-01	6.71924870e-02	6.98516113e+00	9.61931811e-03
2.63925545e-01	8.93279204e-02	1.54587245e+00	5.77847935e-02
2.70870954e-01	5.56075640e-02	1.68293175e+00	3.30420791e-02
2.77816363e-01	1.62452471e-02	7.07378276e+00	2.29654311e-03
2.84761772e-01	4.85217684e-02	2.42266215e+00	2.00282852e-02
2.91707182e-01	1.03678354e-01	1.71356452e+00	6.05044940e-02
2.98652591e-01	2.98538952e-02	4.86163527e+00	6.14071058e-03
3.05598000e-01	1.76544981e-02	4.37547111e+00	4.03487937e-03
3.12543409e-01	3.13986650e-02	2.36688195e+00	1.32658349e-02
3.19488818e-01	4.69084748e-02	1.32230180e+00	3.54748626e-02
3.26434227e-01	5.88923869e-02	5.93353342e-01	9.92534848e-02
3.33379636e-01	3.17362534e-02	3.84903029e-01	8.24525947e-02
3.40325045e-01	1.16257591e-02	1.09877612e+00	1.05806441e-02
3.47270454e-01	3.03522342e-02	3.66538402e-01	8.28077878e-02
3.54215863e-01	2.34813054e-02	4.04967544e-01	5.79831784e-02
3.61161272e-01	1.25269496e-02	4.51825955e-01	2.77251660e-02
3.68106681e-01	8.70246057e-03	5.93454240e-01	1.46640802e-02
3.75052091e-01	7.26507433e-03	7.19175789e-01	1.01019451e-02
3.81997500e-01	5.08097702e-03	9.74970021e-01	5.21141872e-03
3.88942909e-01	1.95104828e-02	2.37681561e-01	8.20866489e-02
3.95888318e-01	1.26036429e-02	2.39806798e-01	5.25574880e-02
4.02833727e-01	7.61067176e-03	3.13901427e-01	2.42454194e-02
4.09779136e-01	6.13899437e-03	3.32659514e-01	1.84542877e-02
4.16724545e-01	4.83397845e-03	5.09152737e-01	9.49416178e-03
4.23669954e-01	3.78433373e-03	5.07772516e-01	7.45281323e-03
4.30615363e-01	4.75641957e-03	2.04721155e-01	2.32336495e-02
4.37560772e-01	7.85773220e-03	1.02186031e-01	7.68963443e-02
4.44506181e-01	4.35914865e-03	1.21151422e-01	3.59809945e-02
4.51451590e-01	3.70679702e-03	1.79985686e-01	2.05949545e-02
4.58397000e-01	2.79242680e-03	2.08784275e-01	1.33746988e-02
4.65342409e-01	1.99434301e-03	3.78228301e-01	5.27285506e-03
4.72287818e-01	8.16152238e-03	8.33784258e-02	9.78853019e-02
4.79233227e-01	2.10308092e-03	2.46732776e-01	8.52371927e-03
4.86178636e-01	4.09257366e-03	9.75917085e-02	4.19356698e-02
4.93124045e-01	5.94642965e-03	7.82111388e-02	7.60304701e-02
5.00069454e-01	7.19316343e-03	7.04427793e-02	1.02113566e-01
5.07014863e-01	6.65350151e-03	4.82909371e-02	1.37779507e-01
5.13960272e-01	4.83179769e-03	6.62666563e-02	7.29144636e-02
5.20905681e-01	4.19943617e-03	7.51820570e-02	5.58568938e-02
5.27851090e-01	3.59094019e-03	5.89635587e-02	6.09010086e-02
5.34796500e-01	4.73656356e-03	5.39546328e-02	8.77878936e-02
5.41741909e-01	4.01152122e-03	5.26237023e-02	7.62303116e-02
5.48687318e-01	3.17745306e-03	5.26821188e-02	6.03136914e-02
5.55632727e-01	5.60807537e-03	3.82713072e-02	1.46534722e-01
5.62578136e-01	2.22555226e-03	7.70909065e-02	2.88691931e-02
5.69523545e-01	1.80458602e-03	1.62474024e-01	1.11069202e-02
5.76468954e-01	1.66221508e-03	1.68556047e-01	9.86149781e-03
5.83414363e-01	5.03707750e-03	5.82314544e-02	8.65009737e-02
5.90359772e-01	4.38948527e-03	5.39983411e-02	8.12892615e-02
5.97305181e-01	4.90598580e-03	4.61940204e-02	1.06203915e-01
6.04250590e-01	3.58216891e-03	6.62470193e-02	5.40729070e-02
6.11195999e-01	1.31117342e-03	1.33063174e-01	9.85376634e-03
6.18141409e-01	2.27708832e-03	1.03378643e-01	2.20266804e-02
6.25086818e-01	5.09489812e-03	5.48296897e-02	9.29222498e-02
6.32032227e-01	5.75411879e-03	3.41328232e-02	1.68580218e-01
6.38977636e-01	5.65347410e-03	3.41225810e-02	1.65681315e-01
6.45923045e-01	6.50680115e-03	3.14552500e-02	2.06858987e-01
6.52868454e-01	5.42047851e-03	3.06711229e-02	1.76729053e-01
6.59813863e-01	5.24506661e-03	2.55972433e-02	2.04907479e-01
6.66759272e-01	6.22034881e-03	2.17362678e-02	2.86173729e-01
6.73704681e-01	6.47929534e-03	1.98254184e-02	3.26817584e-01
6.80650090e-01	7.04295721e-03	2.34651688e-02	3.00145175e-01
6.87595499e-01	4.71006836e-03	2.43531335e-02	1.93407077e-01
6.94540908e-01	7.50519562e-03	1.73752391e-02	4.31947761e-01
7.01486318e-01	6.89022304e-03	2.04927009e-02	3.36228156e-01
7.08431727e-01	7.29719292e-03	1.85130112e-02	3.94165641e-01
7.15377136e-01	7.29922672e-03	1.53502323e-02	4.75512459e-01
7.22322545e-01	6.45366823e-03	1.84967181e-02	3.48908828e-01
7.29267954e-01	6.87087794e-03	1.87312217e-02	3.66814190e-01
7.36213363e-01	8.20678502e-03	1.73725521e-02	4.72399506e-01
7.43158772e-01	8.61055473e-03	1.89100092e-02	4.55343763e-01
7.50104181e-01	8.15978690e-03	1.91578475e-02	4.25923992e-01
7.57049590e-01	9.02951604e-03	2.05357898e-02	4.39696555e-01
7.63994999e-01	1.06544190e-02	1.99481142e-02	5.34106579e-01
7.70940408e-01	1.01631342e-02	1.67667548e-02	6.06147957e-01
7.77885817e-01	1.07296465e-02	1.62720620e-02	6.59390709e-01
7.84831227e-01	1.14097805e-02	1.63335046e-02	6.98550666e-01
7.91776636e-01	9.89270968e-03	1.61767172e-02	6.11540002e-01
7.98722045e-01	9.62830409e-03	1.50606701e-02	6.39301174e-01
8.05667454e-01	1.17718962e-02	1.55769954e-02	7.55723160e-01
8.12612863e-01	1.22417081e-02	1.63491256e-02	7.48768370e-01
8.19558272e-01	1.14143980e-02	1.58742524e-02	7.19051058e-01
8.26503681e-01	1.12145347e-02	1.64592616e-02	6.81351020e-01
8.33449090e-01	1.18988248e-02	1.59732831e-02	7.44920424e-01
8.40394499e-01	1.21461692e-02	1.55043997e-02	7.83401447e-01
8.47339908e-01	1.19911792e-02	1.63138088e-02	7.35032471e-01
8.54285317e-01	1.23376102e-02	1.77513668e-02	6.95023109e-01
8.61230726e-01	1.40038570e-02	1.99412986e-02	7.02254012e-01
8.68176136e-01	1.50812454e-02	1.91939051e-02	7.85730956e-01
8.75121545e-01	1.37333770e-02	1.62715321e-02	8.44012532e-01
8.82066954e-01	1.43685433e-02	1.72340230e-02	8.33731235e-01
8.89012363e-01	1.48538211e-02	1.74733939e-02	8.50082202e-01
8.95957772e-01	1.63391301e-02	1.84103487e-02	8.87497045e-01
9.02903181e-01	1.76068772e-02	1.92541942e-02	9.14443733e-01
9.09848590e-01	1.66938682e-02	1.85450634e-02	9.00178547e-01
9.16793999e-01	1.69887665e-02	1.86841548e-02	9.09260635e-01
9.23739408e-01	1.82070836e-02	2.01149833e-02	9.05150319e-01
9.30684817e-01	1.80985367e-02	2.01373487e-02	8.98754694e-01
9.37630226e-01	1.83909369e-02	2.05279433e-02	8.95897684e-01
9.44575636e-01	1.77201832e-02	1.98644054e-02	8.92057063e-01
9.51521045e-01	1.92477657e-02	2.11577705e-02	9.09725610e-01
