Force;Acc4;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000001;
-0.000000;0.000002;
-0.000001;0.000003;
-0.000001;0.000004;
-0.000002;0.000006;
-0.000002;0.000009;
-0.000003;0.000012;
-0.000005;0.000017;
-0.000006;0.000023;
-0.000008;0.000030;
-0.000010;0.000039;
-0.000012;0.000050;
-0.000015;0.000063;
-0.000018;0.000077;
-0.000021;0.000095;
-0.000025;0.000114;
-0.000029;0.000137;
-0.000033;0.000162;
-0.000037;0.000191;
-0.000041;0.000222;
-0.000045;0.000257;
-0.000049;0.000296;
-0.000053;0.000337;
-0.000057;0.000383;
-0.000060;0.000432;
-0.000062;0.000484;
-0.000063;0.000541;
-0.000063;0.000600;
-0.000062;0.000663;
-0.000059;0.000730;
-0.000054;0.000800;
-0.000047;0.000872;
-0.000038;0.000948;
-0.000025;0.001026;
-0.000010;0.001106;
0.000010;0.001188;
0.000033;0.001272;
0.000061;0.001358;
0.000093;0.001444;
0.000131;0.001530;
0.000175;0.001617;
0.000224;0.001703;
0.000281;0.001787;
0.000344;0.001871;
0.000416;0.001952;
0.000495;0.002030;
0.000583;0.002105;
0.000680;0.002176;
0.000787;0.002242;
0.000904;0.002303;
0.001032;0.002357;
0.001171;0.002405;
0.001321;0.002446;
0.001484;0.002478;
0.001659;0.002502;
0.001847;0.002516;
0.002049;0.002519;
0.002264;0.002512;
0.002494;0.002493;
0.002739;0.002462;
0.002998;0.002417;
0.003273;0.002359;
0.003564;0.002286;
0.003870;0.002198;
0.004193;0.002095;
0.004531;0.001976;
0.004887;0.001839;
0.005259;0.001685;
0.005647;0.001514;
0.006053;0.001324;
0.006474;0.001115;
0.006913;0.000887;
0.007368;0.000640;
0.007839;0.000373;
0.008327;0.000085;
0.008830;-0.000223;
0.009349;-0.000551;
0.009883;-0.000901;
0.010431;-0.001271;
0.010994;-0.001662;
0.011571;-0.002074;
0.012161;-0.002507;
0.012763;-0.002961;
0.013377;-0.003435;
0.014001;-0.003930;
0.014636;-0.004445;
0.015281;-0.004980;
0.015933;-0.005535;
0.016593;-0.006108;
0.017260;-0.006701;
0.017931;-0.007311;
0.018607;-0.007940;
0.019286;-0.008585;
0.019966;-0.009246;
0.020647;-0.009923;
0.021327;-0.010615;
0.022005;-0.011321;
0.022679;-0.012040;
0.023348;-0.012771;
0.024011;-0.013513;
0.024665;-0.014266;
0.025310;-0.015027;
0.025944;-0.015797;
0.026565;-0.016574;
0.027172;-0.017356;
0.027763;-0.018143;
0.028337;-0.018933;
0.028892;-0.019725;
0.029426;-0.020518;
0.029937;-0.021310;
0.030425;-0.022100;
0.030887;-0.022886;
0.031322;-0.023668;
0.031728;-0.024444;
0.032103;-0.025211;
0.032447;-0.025970;
0.032757;-0.026718;
0.033031;-0.027453;
0.033269;-0.028175;
0.033468;-0.028882;
0.033628;-0.029572;
0.033746;-0.030244;
0.033822;-0.030896;
0.033854;-0.031526;
0.033840;-0.032134;
0.033779;-0.032718;
0.033670;-0.033275;
0.033512;-0.033806;
0.033303;-0.034308;
0.033043;-0.034779;
0.032730;-0.035219;
0.032363;-0.035626;
0.031941;-0.035999;
0.031463;-0.036336;
0.030929;-0.036636;
0.030337;-0.036897;
0.029687;-0.037119;
0.028978;-0.037300;
0.028210;-0.037439;
0.027382;-0.037534;
0.026493;-0.037585;
0.025543;-0.037591;
0.024533;-0.037550;
0.023461;-0.037462;
0.022327;-0.037325;
0.021131;-0.037139;
0.019874;-0.036903;
0.018555;-0.036616;
0.017174;-0.036276;
0.015732;-0.035885;
0.014229;-0.035440;
0.012665;-0.034941;
0.011041;-0.034388;
0.009357;-0.033780;
0.007614;-0.033117;
0.005812;-0.032398;
0.003952;-0.031623;
0.002035;-0.030791;
0.000062;-0.029904;
-0.001966;-0.028959;
-0.004048;-0.027958;
-0.006184;-0.026900;
-0.008371;-0.025785;
-0.010609;-0.024614;
-0.012897;-0.023386;
-0.015232;-0.022102;
-0.017614;-0.020762;
-0.020040;-0.019366;
-0.022510;-0.017915;
-0.025022;-0.016409;
-0.027573;-0.014849;
-0.030163;-0.013234;
-0.032789;-0.011567;
-0.035449;-0.009848;
-0.038141;-0.008077;
-0.040864;-0.006255;
-0.043615;-0.004383;
-0.046391;-0.002462;
-0.049191;-0.000494;
-0.052012;0.001522;
-0.054853;0.003583;
-0.057709;0.005689;
-0.060579;0.007838;
-0.063461;0.010029;
-0.066352;0.012261;
-0.069248;0.014531;
-0.072148;0.016840;
-0.075048;0.019184;
-0.077946;0.021564;
-0.080839;0.023976;
-0.083724;0.026419;
-0.086597;0.028892;
-0.089457;0.031392;
-0.092299;0.033918;
-0.095121;0.036468;
-0.097920;0.039040;
-0.100692;0.041632;
-0.103435;0.044241;
-0.106144;0.046866;
-0.108817;0.049505;
-0.111451;0.052155;
-0.114042;0.054815;
-0.116587;0.057481;
-0.119083;0.060152;
-0.121525;0.062825;
-0.123912;0.065498;
-0.126239;0.068168;
-0.128503;0.070833;
-0.130701;0.073491;
-0.132830;0.076138;
-0.134885;0.078774;
-0.136865;0.081393;
-0.138764;0.083996;
-0.140581;0.086577;
-0.142312;0.089136;
-0.143953;0.091669;
-0.145502;0.094174;
-0.146954;0.096648;
-0.148308;0.099088;
-0.149560;0.101492;
-0.150707;0.103857;
-0.151745;0.106180;
-0.152673;0.108458;
-0.153487;0.110689;
-0.154183;0.112871;
-0.154761;0.115000;
-0.155216;0.117073;
-0.155547;0.119089;
-0.155750;0.121044;
-0.155824;0.122936;
-0.155766;0.124762;
-0.155573;0.126519;
-0.155244;0.128206;
-0.154777;0.129819;
-0.154170;0.131356;
-0.153420;0.132814;
-0.152527;0.134192;
-0.151488;0.135486;
-0.150303;0.136694;
-0.148970;0.137815;
-0.147487;0.138845;
-0.145855;0.139783;
-0.144071;0.140626;
-0.142135;0.141372;
-0.140047;0.142020;
-0.137806;0.142568;
-0.135412;0.143012;
-0.132864;0.143353;
-0.130164;0.143587;
-0.127310;0.143713;
-0.124303;0.143730;
-0.121145;0.143637;
-0.117834;0.143430;
-0.114373;0.143110;
-0.110762;0.142675;
-0.107003;0.142124;
-0.103097;0.141456;
-0.099044;0.140669;
-0.094848;0.139763;
-0.090509;0.138737;
-0.086030;0.137591;
-0.081414;0.136322;
-0.076661;0.134932;
-0.071775;0.133420;
-0.066759;0.131785;
