Frequency_Hz	H1_abs	H2_abs	Coherence
0.00000000e+00	2.80762152e-01	7.19878407e+00	3.90013299e-02
6.94540908e-03	5.61298162e-01	8.02494224e+00	6.99441996e-02
1.38908182e-02	4.00250674e-01	2.46310920e+01	1.62498144e-02
2.08362273e-02	7.62637108e-01	6.65774070e+00	1.14548935e-01
2.77816363e-02	5.02741991e-01	1.02627527e+01	4.89870511e-02
3.47270454e-02	6.55489950e-01	1.17932817e+01	5.55816412e-02
4.16724545e-02	5.17469234e-02	8.09985051e+01	6.38862697e-04
4.86178636e-02	2.15697386e-01	7.32218034e+00	2.94580816e-02
5.55632727e-02	2.17163653e-01	4.90921281e+00	4.42359419e-02
6.25086818e-02	2.69689286e-01	9.19033367e+00	2.93448852e-02
6.94540908e-02	6.55243810e-02	2.25131888e+01	2.91048868e-03
7.63994999e-02	1.87247862e-01	8.31890880e+00	2.25087047e-02
8.33449090e-02	2.75566054e-01	1.01543910e+01	2.71376248e-02
9.02903181e-02	4.41386196e-01	4.00857015e+00	1.10110633e-01
9.72357272e-02	2.38240975e-01	3.84065266e+00	6.20313774e-02
1.04181136e-01	2.73931025e-01	4.32920298e+00	6.32751633e-02
1.11126545e-01	3.32458106e-01	4.85083966e+00	6.85361977e-02
1.18071954e-01	7.35633784e-02	1.98889042e+01	3.69871451e-03
1.25017364e-01	5.90327925e-02	2.16884828e+01	2.72184980e-03
1.31962773e-01	1.10814557e-01	2.83420344e+01	3.90990128e-03
1.38908182e-01	1.75403373e-01	1.18629090e+01	1.47858652e-02
1.45853591e-01	1.31618452e-01	7.18516654e+00	1.83180795e-02
1.52799000e-01	1.91038687e-01	4.85921037e+00	3.93147594e-02
1.59744409e-01	2.19227683e-01	9.48899281e+00	2.31033669e-02
1.66689818e-01	1.51946324e-01	6.23302259e+00	2.43776309e-02
1.73635227e-01	7.98602465e-02	6.72039809e+00	1.18832613e-02
1.80580636e-01	1.74671534e-02	1.29816528e+02	1.34552616e-04
1.87526045e-01	1.38322484e-01	9.66444735e+00	1.43125084e-02
1.94471454e-01	8.41389429e-02	7.74825650e+00	1.08590807e-02
2.01416863e-01	1.84889639e-01	3.97761084e+00	4.64825864e-02
2.08362273e-01	2.81334776e-01	3.91353150e+00	7.18876995e-02
2.15307682e-01	1.05922833e-01	2.95728886e+00	3.58175470e-02
2.22253091e-01	9.22706976e-02	5.77271487e+00	1.59839347e-02
2.29198500e-01	3.19412299e-01	4.81747662e+00	6.63028228e-02
2.36143909e-01	1.47355012e-01	3.45025833e+00	4.27083998e-02
2.43089318e-01	1.12114789e-01	5.18622020e+00	2.16178228e-02
2.50034727e-01	6.81515552e-02	8.08231350e+00	8.43218407e-03
2.56980136e-01	1.08896873e-01	4.77540127e+00	2.28037115e-02
2.63925545e-01	8.38332917e-02	2.27671448e+00	3.68220487e-02
2.70870954e-01	3.17907802e-02	3.78699788e+00	8.39471825e-03
2.77816363e-01	5.84964529e-02	2.21989012e+00	2.63510579e-02
2.84761772e-01	5.79959741e-02	3.15065185e+00	1.84076112e-02
2.91707182e-01	6.55875203e-02	3.63704286e+00	1.80331997e-02
2.98652591e-01	6.07720459e-02	2.40659522e+00	2.52522923e-02
3.05598000e-01	1.96123874e-02	4.82629058e+00	4.06365656e-03
3.12543409e-01	2.48464887e-02	4.02844664e+00	6.16775916e-03
3.19488818e-01	5.29735013e-02	1.60148499e+00	3.30777383e-02
3.26434227e-01	2.39747369e-02	2.04945008e+00	1.16981317e-02
3.33379636e-01	3.01672725e-02	5.45803765e-01	5.52712795e-02
3.40325045e-01	2.25557654e-02	5.35634881e-01	4.21103371e-02
3.47270454e-01	7.27276212e-03	1.74341018e+00	4.17157258e-03
3.54215863e-01	2.34414084e-02	5.68596627e-01	4.12267805e-02
3.61161272e-01	8.52462621e-03	1.14503399e+00	7.44486737e-03
3.68106681e-01	1.01552247e-02	7.47131982e-01	1.35922768e-02
3.75052091e-01	8.68566449e-03	7.59629416e-01	1.14340813e-02
3.81997500e-01	1.19288126e-02	5.00990356e-01	2.38104636e-02
3.88942909e-01	1.44938302e-02	5.24187542e-01	2.76500852e-02
3.95888318e-01	5.60264104e-03	8.41053063e-01	6.66145965e-03
4.02833727e-01	5.79545182e-03	5.69332311e-01	1.01793833e-02
4.09779136e-01	5.93005564e-03	3.87850778e-01	1.52895288e-02
4.16724545e-01	1.58002285e-02	1.32302089e-01	1.19425389e-01
4.23669954e-01	8.64860354e-03	2.35205406e-01	3.67704284e-02
4.30615363e-01	2.29050718e-03	5.44595271e-01	4.20588886e-03
4.37560772e-01	1.98600160e-03	4.86129444e-01	4.08533493e-03
4.44506181e-01	5.11113727e-03	1.69140681e-01	3.02182611e-02
4.51451590e-01	7.80442686e-04	7.06222323e-01	1.10509490e-03
4.58397000e-01	1.12002537e-02	5.79379680e-02	1.93314575e-01
4.65342409e-01	9.50110591e-03	8.30927018e-02	1.14343447e-01
4.72287818e-01	5.39328256e-03	1.09574925e-01	4.92200434e-02
4.79233227e-01	1.01435494e-02	4.67497853e-02	2.16975315e-01
4.86178636e-01	9.37923655e-03	5.14229795e-02	1.82393876e-01
4.93124045e-01	8.50196837e-03	5.90742074e-02	1.43920143e-01
5.00069454e-01	6.72503286e-03	8.35706588e-02	8.04712199e-02
5.07014863e-01	6.53924647e-03	9.71171775e-02	6.73335721e-02
5.13960272e-01	2.58674725e-03	1.30490868e-01	1.98232051e-02
5.20905681e-01	4.45207601e-03	6.51410964e-02	6.83451193e-02
5.27851090e-01	7.34877518e-03	3.56010220e-02	2.06420343e-01
5.34796500e-01	4.89277201e-03	6.39249485e-02	7.65393188e-02
5.41741909e-01	5.89926581e-03	8.05757960e-02	7.32138695e-02
5.48687318e-01	4.73054208e-03	9.04949383e-02	5.22741069e-02
5.55632727e-01	5.26464813e-03	6.66946328e-02	7.89366087e-02
5.62578136e-01	3.97680572e-03	8.24948128e-02	4.82067368e-02
5.69523545e-01	6.92964628e-03	4.81855982e-02	1.43811565e-01
