Force;Acc4;
-0.017842;-0.626707;
-0.020690;-0.676383;
-0.023477;-0.724540;
-0.026195;-0.770989;
-0.028835;-0.815544;
-0.031390;-0.858026;
-0.033851;-0.898259;
-0.036212;-0.936073;
-0.038466;-0.971305;
-0.040607;-1.003800;
-0.042628;-1.033409;
-0.044523;-1.059994;
-0.046289;-1.083423;
-0.047919;-1.103575;
-0.049409;-1.120341;
-0.050756;-1.133621;
-0.051956;-1.143325;
-0.053006;-1.149376;
-0.053904;-1.151710;
-0.054648;-1.150274;
-0.055235;-1.145027;
-0.055665;-1.135942;
-0.055937;-1.123006;
-0.056051;-1.106217;
-0.056007;-1.085589;
-0.055805;-1.061148;
-0.055447;-1.032934;
-0.054934;-1.001000;
-0.054268;-0.965413;
-0.053450;-0.926255;
-0.052484;-0.883618;
-0.051373;-0.837610;
-0.050120;-0.788349;
-0.048729;-0.735967;
-0.047204;-0.680610;
-0.045550;-0.622431;
-0.043770;-0.561599;
-0.041872;-0.498290;
-0.039859;-0.432693;
-0.037739;-0.365004;
-0.035516;-0.295431;
-0.033198;-0.224188;
-0.030790;-0.151498;
-0.028301;-0.077589;
-0.025737;-0.002698;
-0.023106;0.072934;
-0.020414;0.149063;
-0.017670;0.225437;
-0.014882;0.301806;
-0.012058;0.377915;
-0.009205;0.453507;
-0.006332;0.528327;
-0.003447;0.602120;
-0.000559;0.674630;
0.002324;0.745608;
0.005195;0.814803;
0.008045;0.881973;
0.010865;0.946876;
0.013649;1.009281;
0.016387;1.068959;
0.019072;1.125691;
0.021697;1.179267;
0.024254;1.229485;
0.026737;1.276152;
0.029137;1.319087;
0.031449;1.358120;
0.033666;1.393092;
0.035781;1.423858;
0.037790;1.450286;
0.039686;1.472256;
0.041464;1.489663;
0.043120;1.502419;
0.044649;1.510447;
0.046046;1.513688;
0.047308;1.512097;
0.048431;1.505648;
0.049413;1.494327;
0.050250;1.478138;
0.050940;1.457103;
0.051482;1.431257;
0.051874;1.400654;
0.052116;1.365363;
0.052205;1.325470;
0.052143;1.281075;
0.051929;1.232295;
0.051565;1.179263;
0.051051;1.122125;
0.050389;1.061042;
0.049582;0.996190;
0.048630;0.927759;
0.047539;0.855949;
0.046310;0.780975;
0.044948;0.703064;
0.043457;0.622452;
0.041841;0.539386;
0.040106;0.454122;
0.038257;0.366926;
0.036300;0.278072;
0.034241;0.187838;
0.032087;0.096510;
0.029844;0.004380;
0.027519;-0.088257;
0.025119;-0.181104;
0.022653;-0.273860;
0.020128;-0.366223;
0.017552;-0.457893;
0.014933;-0.548567;
0.012278;-0.637948;
0.009597;-0.725739;
0.006898;-0.811647;
0.004188;-0.895387;
0.001476;-0.976675;
-0.001229;-1.055238;
-0.003919;-1.130808;
-0.006588;-1.203128;
-0.009225;-1.271948;
-0.011825;-1.337030;
-0.014379;-1.398147;
-0.016880;-1.455084;
-0.019321;-1.507638;
-0.021694;-1.555622;
-0.023994;-1.598861;
-0.026214;-1.637195;
-0.028348;-1.670479;
-0.030391;-1.698586;
-0.032336;-1.721404;
-0.034179;-1.738839;
-0.035914;-1.750811;
-0.037539;-1.757262;
-0.039048;-1.758149;
-0.040437;-1.753448;
-0.041704;-1.743152;
-0.042846;-1.727275;
-0.043859;-1.705846;
-0.044741;-1.678914;
-0.045490;-1.646546;
-0.046106;-1.608827;
-0.046586;-1.565859;
-0.046929;-1.517762;
-0.047136;-1.464674;
-0.047205;-1.406748;
-0.047138;-1.344154;
-0.046934;-1.277079;
-0.046594;-1.205722;
-0.046120;-1.130300;
-0.045514;-1.051043;
-0.044777;-0.968192;
-0.043911;-0.882003;
-0.042919;-0.792742;
-0.041805;-0.700688;
-0.040571;-0.606128;
-0.039222;-0.509357;
-0.037760;-0.410680;
-0.036192;-0.310409;
-0.034520;-0.208861;
-0.032750;-0.106358;
-0.030888;-0.003227;
-0.028938;0.100202;
-0.026907;0.203598;
-0.024800;0.306631;
-0.022624;0.408966;
-0.020385;0.510276;
-0.018090;0.610231;
-0.015746;0.708508;
-0.013359;0.804787;
-0.010936;0.898753;
-0.008485;0.990101;
-0.006013;1.078531;
-0.003528;1.163751;
-0.001035;1.245481;
0.001456;1.323451;
0.003939;1.397402;
0.006407;1.467087;
0.008852;1.532274;
0.011267;1.592742;
0.013645;1.648289;
0.015980;1.698724;
0.018263;1.743876;
0.020489;1.783588;
0.022651;1.817721;
0.024743;1.846154;
0.026758;1.868785;
0.028691;1.885528;
0.030536;1.896318;
0.032287;1.901108;
0.033940;1.899872;
0.035489;1.892601;
0.036930;1.879306;
0.038259;1.860019;
0.039471;1.834789;
0.040563;1.803687;
0.041531;1.766801;
0.042373;1.724238;
0.043086;1.676123;
0.043668;1.622601;
0.044116;1.563834;
0.044430;1.499999;
0.044608;1.431292;
0.044650;1.357925;
0.044555;1.280123;
0.044324;1.198129;
0.043957;1.112196;
0.043456;1.022594;
0.042822;0.929603;
0.042056;0.833513;
0.041162;0.734628;
0.040142;0.633259;
0.039000;0.529725;
0.037739;0.424354;
0.036363;0.317481;
0.034876;0.209442;
0.033284;0.100583;
0.031592;-0.008750;
0.029805;-0.118210;
0.027929;-0.227447;
0.025971;-0.336112;
0.023936;-0.443858;
0.021831;-0.550338;
0.019663;-0.655212;
0.017439;-0.758143;
0.015167;-0.858800;
0.012853;-0.956859;
0.010506;-1.052003;
0.008131;-1.143925;
0.005738;-1.232328;
0.003333;-1.316926;
0.000924;-1.397444;
-0.001482;-1.473620;
-0.003877;-1.545206;
-0.006254;-1.611969;
-0.008605;-1.673690;
-0.010925;-1.730166;
-0.013206;-1.781211;
-0.015440;-1.826657;
-0.017623;-1.866352;
-0.019747;-1.900164;
-0.021806;-1.927979;
-0.023795;-1.949701;
-0.025708;-1.965255;
-0.027539;-1.974585;
-0.029284;-1.977656;
-0.030938;-1.974450;
-0.032495;-1.964972;
-0.033953;-1.949246;
-0.035306;-1.927317;
-0.036552;-1.899248;
-0.037686;-1.865123;
-0.038706;-1.825046;
-0.039609;-1.779138;
-0.040393;-1.727541;
-0.041055;-1.670414;
-0.041594;-1.607934;
-0.042008;-1.540297;
-0.042297;-1.467712;
-0.042458;-1.390408;
-0.042492;-1.308626;
-0.042400;-1.222623;
-0.042180;-1.132671;
-0.041833;-1.039053;
-0.041362;-0.942063;
-0.040766;-0.842009;
-0.040048;-0.739207;
-0.039210;-0.633982;
-0.038253;-0.526667;
-0.037182;-0.417603;
-0.035999;-0.307136;
-0.034706;-0.195616;
-0.033310;-0.083399;
-0.031812;0.029160;
-0.030219;0.141702;
-0.028533;0.253869;
-0.026762;0.365303;
-0.024909;0.475649;
-0.022981;0.584556;
-0.020983;0.691675;
-0.018922;0.796665;
-0.016803;0.899190;
-0.014633;0.998923;
-0.012418;1.095544;
-0.010167;1.188745;
-0.007884;1.278226;
-0.005577;1.363701;
-0.003254;1.444895;
-0.000921;1.521549;
0.001414;1.593415;
0.003745;1.660263;
0.006064;1.721877;
0.008365;1.778058;
0.010640;1.828626;
0.012882;1.873416;
0.015084;1.912284;
0.017240;1.945102;
0.019344;1.971763;
0.021387;1.992180;
0.023366;2.006285;
0.025272;2.014030;
0.027101;2.015387;
0.028846;2.010350;
0.030502;1.998931;
0.032065;1.981164;
0.033528;1.957103;
0.034888;1.926822;
0.036140;1.890413;
0.037279;1.847992;
0.038303;1.799688;
0.039208;1.745655;
0.039990;1.686061;
0.040648;1.621094;
0.041179;1.550958;
0.041580;1.475873;
0.041852;1.396077;
0.041992;1.311822;
0.042000;1.223372;
0.041876;1.131009;
0.041620;1.035024;
0.041233;0.935720;
0.040716;0.833412;
0.040071;0.728424;
0.039300;0.621089;
0.038406;0.511747;
0.037390;0.400744;
0.036258;0.288432;
0.035012;0.175169;
0.033656;0.061312;
0.032196;-0.052775;
0.030637;-0.166732;
0.028982;-0.280196;
0.027239;-0.392806;
0.025413;-0.504204;
0.023509;-0.614037;
0.021535;-0.721955;
0.019497;-0.827615;
0.017402;-0.930680;
0.015257;-1.030823;
0.013068;-1.127725;
0.010843;-1.221077;
0.008589;-1.310581;
0.006313;-1.395953;
0.004023;-1.476920;
0.001726;-1.553225;
-0.000571;-1.624623;
-0.002862;-1.690886;
-0.005138;-1.751804;
-0.007393;-1.807181;
-0.009620;-1.856840;
-0.011813;-1.900621;
