Frequency_Hz	H1_abs	H2_abs	Coherence
0.00000000e+00	1.27310674e-01	1.21031132e+01	1.05188369e-02
6.94540908e-03	4.16593874e-01	4.61752546e+00	9.02201574e-02
1.38908182e-02	8.90550633e-01	7.71836480e+00	1.15380739e-01
2.08362273e-02	1.24752186e+00	3.54870166e+00	3.51543178e-01
2.77816363e-02	7.06732224e-01	3.79819964e+00	1.86070321e-01
3.47270454e-02	6.77003433e-01	6.06402271e+00	1.11642628e-01
4.16724545e-02	4.83871122e-01	4.85404007e+00	9.96842043e-02
4.86178636e-02	3.36255620e-01	2.84440953e+00	1.18216317e-01
5.55632727e-02	3.02730242e-01	2.60411134e+00	1.16250883e-01
6.25086818e-02	7.69543555e-01	2.74557979e+00	2.80284535e-01
6.94540908e-02	4.78786274e-01	2.36801220e+00	2.02189108e-01
7.63994999e-02	1.71373996e-01	4.89528882e+00	3.50079438e-02
8.33449090e-02	2.92625274e-01	6.21973788e+00	4.70478466e-02
9.02903181e-02	5.33356690e-01	2.41630399e+00	2.20732446e-01
9.72357272e-02	3.80319534e-01	2.54546692e+00	1.49410519e-01
1.04181136e-01	8.64659754e-02	1.01641937e+01	8.50691931e-03
1.11126545e-01	2.93502427e-01	4.28809822e+00	6.84458266e-02
1.18071954e-01	2.31519881e-01	2.58823202e+00	8.94509762e-02
1.25017364e-01	2.04865958e-01	1.87914464e+00	1.09020856e-01
1.31962773e-01	2.95202391e-01	4.25475544e+00	6.93817529e-02
1.38908182e-01	1.23079379e-01	8.93610412e+00	1.37732704e-02
1.45853591e-01	9.67567599e-02	5.86285460e+00	1.65033531e-02
1.52799000e-01	8.03537786e-02	6.39096086e+00	1.25730356e-02
1.59744409e-01	1.92101832e-01	5.09826193e+00	3.76798671e-02
1.66689818e-01	1.41355538e-01	2.55749521e+00	5.52710863e-02
1.73635227e-01	2.53485386e-02	1.17960981e+01	2.14889181e-03
1.80580636e-01	8.90040638e-02	1.41096350e+01	6.30803448e-03
1.87526045e-01	6.81088108e-02	1.01319008e+01	6.72221452e-03
1.94471454e-01	4.64488712e-02	1.13899357e+01	4.07806264e-03
2.01416863e-01	8.20738212e-02	6.63988156e+00	1.23607357e-02
2.08362273e-01	5.54379012e-02	1.10387491e+01	5.02211806e-03
2.15307682e-01	2.52332709e-02	7.82445476e+00	3.22492386e-03
2.22253091e-01	5.27989354e-02	8.89555929e+00	5.93542617e-03
2.29198500e-01	1.43611585e-01	7.64959373e+00	1.87737533e-02
2.36143909e-01	1.29190827e-01	2.56800981e+00	5.03077623e-02
2.43089318e-01	1.78289510e-01	2.11051644e+00	8.44767219e-02
2.50034727e-01	9.92366430e-02	4.65854050e+00	2.13020887e-02
2.56980136e-01	7.06578466e-02	8.16944170e+00	8.64904227e-03
2.63925545e-01	8.57564561e-02	1.65103306e+00	5.19410896e-02
2.70870954e-01	7.16446758e-02	1.60153885e+00	4.47348971e-02
2.77816363e-01	3.09751938e-02	2.65199544e+00	1.16799574e-02
2.84761772e-01	6.29138992e-02	1.85764115e+00	3.38676280e-02
2.91707182e-01	2.83232871e-02	5.55198047e+00	5.10147456e-03
2.98652591e-01	6.55472142e-02	1.42205497e+00	4.60933056e-02
3.05598000e-01	2.16175746e-02	2.18287095e+00	9.90327653e-03
3.12543409e-01	4.75902761e-02	1.39167941e+00	3.41962924e-02
3.19488818e-01	4.28053662e-02	1.77757496e+00	2.40807657e-02
3.26434227e-01	5.80381575e-02	1.05612303e+00	5.49539737e-02
3.33379636e-01	3.51560205e-02	7.01907390e-01	5.00864088e-02
3.40325045e-01	1.47165775e-02	8.96898425e-01	1.64082989e-02
3.47270454e-01	2.27906733e-02	4.29458633e-01	5.30683786e-02
3.54215863e-01	7.83451317e-03	1.48623655e+00	5.27137699e-03
3.61161272e-01	1.04557123e-03	1.06301351e+01	9.83591661e-05
