Frequency_Hz	H1_abs	H2_abs	Coherence
0.00000000e+00	4.20959314e-02	4.92356273e+01	8.54989236e-04
6.94540908e-03	1.06960070e+00	3.31134215e+00	3.23011230e-01
1.38908182e-02	1.91635201e+00	7.09202168e+00	2.70212373e-01
2.08362273e-02	1.01461424e+00	5.91892971e+00	1.71418531e-01
2.77816363e-02	2.29914035e-01	1.38042379e+01	1.66553225e-02
3.47270454e-02	3.17884247e-01	1.03577417e+01	3.06904976e-02
4.16724545e-02	2.51363401e-01	8.12578545e+00	3.09340435e-02
4.86178636e-02	1.71278958e-01	4.87685123e+00	3.51208084e-02
5.55632727e-02	3.68731715e-01	2.23286694e+00	1.65138239e-01
6.25086818e-02	6.35052264e-01	3.30118295e+00	1.92371121e-01
6.94540908e-02	7.96124842e-02	1.27832937e+01	6.22785380e-03
7.63994999e-02	2.59766901e-01	2.93647397e+00	8.84621840e-02
8.33449090e-02	2.00095759e-01	1.31426983e+01	1.52248613e-02
9.02903181e-02	6.35911428e-02	2.93736733e+01	2.16490264e-03
9.72357272e-02	4.42473919e-02	2.03253890e+01	2.17695178e-03
1.04181136e-01	8.20013323e-02	8.45896808e+00	9.69401132e-03
1.11126545e-01	4.16128874e-02	1.72998855e+01	2.40538513e-03
1.18071954e-01	2.39633081e-01	2.82854261e+00	8.47196293e-02
1.25017364e-01	1.47861383e-01	4.44573887e+00	3.32591246e-02
1.31962773e-01	2.74389588e-01	7.99816165e+00	3.43065820e-02
1.38908182e-01	3.12809954e-01	4.18176828e+00	7.48032728e-02
1.45853591e-01	1.20412446e-01	5.61597249e+00	2.14410676e-02
1.52799000e-01	2.96197887e-01	2.39420099e+00	1.23714713e-01
1.59744409e-01	8.10747283e-02	1.85799374e+01	4.36356305e-03
1.66689818e-01	1.25753497e-01	4.71213347e+00	2.66871680e-02
1.73635227e-01	9.88970193e-02	4.66121748e+00	2.12169931e-02
1.80580636e-01	1.29410455e-01	1.48504188e+01	8.71426298e-03
1.87526045e-01	9.23086088e-02	6.87249478e+00	1.34316011e-02
1.94471454e-01	1.27655965e-01	2.67284689e+00	4.77602983e-02
2.01416863e-01	3.76535726e-02	1.48085998e+01	2.54268284e-03
2.08362273e-01	1.79176962e-01	4.55040897e+00	3.93760128e-02
2.15307682e-01	1.16464781e-01	2.57859870e+00	4.51659194e-02
2.22253091e-01	9.23621849e-02	4.58491507e+00	2.01447973e-02
2.29198500e-01	6.95038532e-02	1.40351081e+01	4.95214234e-03
2.36143909e-01	1.16676095e-01	3.08085013e+00	3.78713958e-02
2.43089318e-01	1.17271240e-01	3.05165094e+00	3.84287856e-02
2.50034727e-01	1.00952358e-01	5.32412668e+00	1.89612991e-02
2.56980136e-01	8.58389595e-02	6.25481942e+00	1.37236511e-02
2.63925545e-01	4.70244041e-02	3.43421053e+00	1.36929299e-02
2.70870954e-01	3.47265217e-02	2.53855740e+00	1.36796283e-02
2.77816363e-01	7.29527210e-02	9.93238160e-01	7.34493739e-02
2.84761772e-01	8.93495528e-02	1.20142374e+00	7.43697245e-02
2.91707182e-01	8.43281661e-02	1.65430296e+00	5.09750439e-02
2.98652591e-01	4.69594224e-02	2.05079982e+00	2.28981015e-02
3.05598000e-01	1.31609792e-02	3.74264477e+00	3.51649169e-03
3.12543409e-01	4.47314943e-02	1.19656925e+00	3.73831220e-02
3.19488818e-01	3.35719261e-02	1.80752091e+00	1.85734649e-02
3.26434227e-01	4.79330574e-02	9.35892179e-01	5.12164312e-02
3.33379636e-01	2.58824843e-02	7.05091440e-01	3.67079825e-02
3.40325045e-01	2.59086227e-02	3.21386676e-01	8.06151116e-02
3.47270454e-01	1.31711383e-02	6.76576288e-01	1.94673366e-02
3.54215863e-01	8.86797964e-03	1.27762525e+00	6.94098649e-03
3.61161272e-01	4.19379790e-03	1.81709537e+00	2.30796796e-03
3.68106681e-01	1.18105041e-02	4.10164662e-01	2.87945433e-02
3.75052091e-01	8.55742657e-03	5.00022029e-01	1.71140991e-02
3.81997500e-01	3.59997285e-03	9.91226228e-01	3.63183777e-03
3.88942909e-01	1.15894928e-02	4.17482802e-01	2.77604077e-02
3.95888318e-01	9.18105856e-03	3.19190042e-01	2.87636121e-02
4.02833727e-01	5.58673707e-03	4.70786417e-01	1.18668187e-02
4.09779136e-01	1.20903100e-03	1.50478127e+00	8.03459629e-04
4.16724545e-01	3.86022407e-03	3.17685758e-01	1.21510769e-02
4.23669954e-01	1.25545740e-02	1.19141667e-01	1.05375175e-01
4.30615363e-01	6.46448125e-03	2.06729971e-01	3.12701697e-02
4.37560772e-01	8.76237348e-03	1.14607684e-01	7.64553752e-02
4.44506181e-01	7.73638544e-03	6.63454000e-02	1.16607714e-01
4.51451590e-01	3.18155568e-03	1.20745379e-01	2.63492956e-02
4.58397000e-01	6.25751706e-03	7.81807811e-02	8.00390706e-02
4.65342409e-01	1.40904510e-02	5.19046933e-02	2.71467763e-01
4.72287818e-01	1.80680642e-02	3.90383957e-02	4.62828042e-01
4.79233227e-01	6.10678455e-03	6.38093962e-02	9.57035315e-02
4.86178636e-01	3.79440443e-03	6.09062492e-02	6.22990988e-02
4.93124045e-01	6.03732108e-03	4.60469411e-02	1.31112316e-01
5.00069454e-01	5.93023339e-03	7.99089593e-02	7.42123716e-02
5.07014863e-01	1.01700616e-02	4.70294763e-02	2.16248668e-01
5.13960272e-01	6.23149334e-03	4.86153786e-02	1.28179468e-01
5.20905681e-01	3.95995484e-03	5.09212121e-02	7.77663113e-02
5.27851090e-01	5.80598356e-03	4.39450265e-02	1.32119241e-01
5.34796500e-01	9.72688937e-03	3.15407834e-02	3.08390862e-01
5.41741909e-01	6.21180834e-03	4.11989168e-02	1.50776011e-01
5.48687318e-01	5.09994880e-04	4.06326283e-01	1.25513633e-03
5.55632727e-01	1.76068192e-03	7.19264218e-02	2.44789310e-02
5.62578136e-01	3.04750759e-03	7.08145481e-02	4.30350496e-02
