Force;Acc4;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000000;0.000000;
-0.000001;0.000001;
-0.000002;0.000001;
-0.000003;0.000002;
-0.000005;0.000004;
-0.000009;0.000007;
-0.000016;0.000011;
-0.000025;0.000018;
-0.000039;0.000027;
-0.000059;0.000041;
-0.000088;0.000061;
-0.000127;0.000087;
-0.000179;0.000123;
-0.000247;0.000169;
-0.000336;0.000227;
-0.000448;0.000302;
-0.000588;0.000394;
-0.000760;0.000505;
-0.000967;0.000639;
-0.001214;0.000798;
-0.001504;0.000981;
-0.001840;0.001192;
-0.002224;0.001429;
-0.002657;0.001693;
-0.003138;0.001982;
-0.003665;0.002292;
-0.004236;0.002620;
-0.004845;0.002960;
-0.005484;0.003303;
-0.006144;0.003642;
-0.006814;0.003966;
-0.007480;0.004260;
-0.008126;0.004513;
-0.008736;0.004706;
-0.009289;0.004824;
-0.009767;0.004847;
-0.010146;0.004756;
-0.010405;0.004531;
-0.010521;0.004151;
-0.010472;0.003596;
-0.010237;0.002846;
-0.009795;0.001883;
-0.009129;0.000690;
-0.008222;-0.000748;
-0.007062;-0.002442;
-0.005639;-0.004402;
-0.003948;-0.006630;
-0.001989;-0.009128;
0.000235;-0.011891;
0.002715;-0.014907;
0.005436;-0.018161;
0.008378;-0.021631;
0.011516;-0.025287;
0.014818;-0.029095;
0.018249;-0.033012;
0.021766;-0.036991;
0.025324;-0.040977;
0.028873;-0.044909;
0.032359;-0.048721;
0.035726;-0.052343;
0.038915;-0.055700;
0.041867;-0.058712;
0.044522;-0.061298;
0.046822;-0.063377;
0.048709;-0.064863;
0.050131;-0.065676;
0.051038;-0.065735;
0.051384;-0.064962;
0.051133;-0.063286;
0.050252;-0.060641;
0.048719;-0.056969;
0.046520;-0.052219;
0.043647;-0.046352;
0.040107;-0.039341;
0.035913;-0.031170;
0.031089;-0.021837;
0.025670;-0.011355;
0.019700;0.000247;
0.013232;0.012925;
0.006327;0.026618;
-0.000944;0.041248;
-0.008506;0.056721;
-0.016275;0.072925;
-0.024167;0.089733;
-0.032089;0.107001;
-0.039951;0.124572;
-0.047659;0.142272;
-0.055122;0.159918;
-0.062250;0.177313;
-0.068956;0.194253;
-0.075161;0.210525;
-0.080786;0.225910;
-0.085765;0.240188;
-0.090035;0.253136;
-0.093545;0.264533;
-0.096251;0.274165;
-0.098118;0.281820;
-0.099123;0.287299;
-0.099252;0.290415;
-0.098499;0.290993;
-0.096871;0.288880;
-0.094382;0.283938;
-0.091054;0.276055;
-0.086921;0.265141;
-0.082021;0.251135;
-0.076400;0.234001;
-0.070111;0.213735;
-0.063212;0.190365;
-0.055765;0.163950;
-0.047835;0.134582;
-0.039491;0.102387;
-0.030805;0.067523;
-0.021847;0.030184;
-0.012691;-0.009406;
-0.003409;-0.050991;
0.005927;-0.094284;
0.015248;-0.138969;
0.024483;-0.184706;
0.033567;-0.231128;
0.042436;-0.277850;
0.051029;-0.324465;
0.059286;-0.370554;
0.067153;-0.415685;
0.074579;-0.459418;
0.081514;-0.501312;
0.087913;-0.540922;
0.093736;-0.577811;
0.098945;-0.611550;
0.103504;-0.641723;
0.107384;-0.667930;
0.110557;-0.689797;
0.113000;-0.706970;
0.114694;-0.719131;
0.115622;-0.725992;
0.115774;-0.727303;
0.115142;-0.722857;
0.113723;-0.712488;
0.111519;-0.696079;
0.108535;-0.673561;
0.104785;-0.644916;
0.100283;-0.610179;
0.095054;-0.569439;
0.089124;-0.522839;
0.082528;-0.470576;
0.075305;-0.412902;
0.067501;-0.350122;
0.059169;-0.282591;
0.050364;-0.210719;
0.041150;-0.134958;
0.031596;-0.055810;
0.021774;0.026186;
0.011762;0.110449;
0.001639;0.196366;
-0.008511;0.283294;
-0.018603;0.370567;
-0.028551;0.457499;
-0.038269;0.543388;
-0.047673;0.627527;
-0.056679;0.709205;
-0.065208;0.787714;
-0.073186;0.862358;
-0.080543;0.932455;
-0.087215;0.997344;
-0.093147;1.056395;
-0.098289;1.109007;
-0.102602;1.154623;
-0.106055;1.192728;
-0.108626;1.222857;
-0.110303;1.244600;
-0.111085;1.257606;
-0.110978;1.261588;
-0.109997;1.256323;
-0.108170;1.241660;
-0.105527;1.217518;
-0.102112;1.183892;
-0.097971;1.140849;
-0.093159;1.088536;
-0.087735;1.027173;
-0.081763;0.957056;
-0.075308;0.878554;
-0.068440;0.792112;
-0.061230;0.698241;
-0.053748;0.597521;
-0.046064;0.490595;
-0.038246;0.378165;
-0.030363;0.260987;
-0.022477;0.139866;
-0.014650;0.015651;
-0.006938;-0.110772;
0.000606;-0.238487;
0.007933;-0.366554;
0.015000;-0.494015;
0.021768;-0.619905;
0.028203;-0.743255;
0.034275;-0.863104;
0.039958;-0.978502;
0.045231;-1.088523;
0.050079;-1.192268;
0.054486;-1.288874;
0.058443;-1.377523;
0.061942;-1.457445;
0.064979;-1.527929;
0.067550;-1.588325;
0.069656;-1.638055;
0.071298;-1.676612;
0.072476;-1.703571;
0.073195;-1.718587;
0.073459;-1.721405;
0.073273;-1.711858;
0.072643;-1.689870;
0.071576;-1.655460;
0.070079;-1.608741;
0.068162;-1.549921;
0.065835;-1.479300;
0.063111;-1.397270;
0.060002;-1.304316;
0.056525;-1.201007;
0.052698;-1.087998;
0.048543;-0.966023;
0.044083;-0.835888;
0.039345;-0.698472;
0.034359;-0.554713;
0.029158;-0.405608;
0.023780;-0.252203;
0.018263;-0.095583;
0.012651;0.063131;
0.006986;0.222794;
0.001318;0.382243;
-0.004307;0.540308;
-0.009839;0.695819;
-0.015228;0.847617;
-0.020425;0.994559;
-0.025383;1.135532;
-0.030054;1.269456;
-0.034396;1.395299;
-0.038369;1.512079;
-0.041936;1.618873;
-0.045066;1.714829;
-0.047734;1.799167;
-0.049918;1.871188;
-0.051605;1.930281;
-0.052787;1.975925;
-0.053461;2.007697;
-0.053632;2.025272;
-0.053312;2.028430;
-0.052517;2.017055;
-0.051269;1.991139;
-0.049598;1.950779;
-0.047533;1.896183;
-0.045113;1.827662;
-0.042375;1.745633;
-0.039363;1.650615;
-0.036119;1.543228;
-0.032689;1.424181;
-0.029116;1.294279;
-0.025445;1.154407;
-0.021719;1.005531;
-0.017978;0.848685;
-0.014261;0.684970;
-0.010604;0.515541;
-0.007039;0.341602;
