Mode,fn_freq_Hz,fn_time_Hz,fn_theory_Hz,err_freq_vs_theory_pct,err_time_vs_theory_pct,err_time_vs_freq_pct,zeta_time_logdec,zeta_ls_ref_acc,zeta_hpp_ref_acc,err_zeta_time_vs_hpp_pct,err_zeta_time_vs_ls_pct,m_modal_ref_acc,k_modal_ref_acc,d_modal_ref_acc,ref_accelerometer
1,1.2849006806500904,1.3287965792513288,1.071689204362755,19.894898205503022,23.990852370436468,3.4162872868142125,0.005355300095366424,0.0019,0.0081,33.88518400782192,181.8578997561276,64.326,4178.3,1.9506,4
2,1.8127517710793166,1.8252801338254443,1.4904988868822842,21.620471308844603,22.461019588107906,0.6911240107997941,0.002443226212139499,0.0012,0.0038,35.70457336475003,103.60218434495825,247.89,32257.0,6.7986,4
3,2.264203361577997,2.2973235837818535,1.9961312520111851,13.429583315060977,15.08880397855625,1.4627759487457834,0.003816862788969701,0.0008,0.0031,23.124606095796814,377.1078486212126,84.403,17121.0,1.8049,4
4,4.472843450479234,4.752093503560621,3.8831161682486535,15.186959562339245,22.378350213094194,6.243233329605306,0.01630234214301433,0.0003,0.0016,918.8963839383955,5334.114047671444,-14.072,-11120.0,0.21967,4
5,6.743992221141826,7.049084922924843,6.640284103749267,1.5618024134540083,6.156375431960158,4.523918352494206,0.01677648559096318,0.0027,0.0036,366.0134886378661,521.3513181838214,23.08,41429.0,5.3105,4
6,8.591471037644117,7.242315732587586,8.230770619139978,4.382340794012171,12.00926295107559,15.703426097173761,0.011775438134069744,0.0021,0.002,488.77190670348716,460.7351492414164,-74.148,-216220.0,17.044,4
